"","country.code","asciiname","admin1.code"
"1445890","SB","Choiseul","12"
"1445891","SB","Rennell and Bellona","13"
"1446009","SB","Honiara","14"
"1446250","SC","Takamaka","23"
"1446280","SC","Saint Louis","22"
"1446314","SC","Port Glaud","27"
"1446320","SC","Pointe Larue","20"
"1446323","SC","Plaisance","19"
"1446350","SC","Mont Fleuri","18"
"1446351","SC","Mont Buxton","17"
"1446401","SC","English River","26"
"1446410","SC","Inner Islands","25"
"1446428","SC","Grand Anse Mahe","24"
"1446429","SC","Grand Anse Praslin","14"
"1446434","SC","Glacis","12"
"1446493","SC","Cascade","11"
"1446521","SC","Bel Ombre","10"
"1446523","SC","Bel Air","09"
"1446525","SC","Beau Vallon","08"
"1446535","SC","Baie Sainte Anne","07"
"1446536","SC","Baie Lazare","06"
"1446541","SC","Anse Royale","05"
"1446543","SC","Anse Etoile","03"
"1446545","SC","Anse Boileau","02"
"1446546","SC","Anse aux Pins","01"
"1446556","SC","Les Mamelles","29"
"1446557","SC","Roche Caiman","30"
"1446558","SC","Au Cap","28"
"1446768","SC","Outer Islands","11876017"
"1457182","SD","Northern","43"
"1457886","SD","Khartoum","29"
"1459762","SD","Red Sea","36"
"1459763","SD","Al Jazirah State","38"
"1459764","SD","Al Qadarif State","39"
"1459765","SD","White Nile","41"
"1459766","SD","Blue Nile","42"
"1459767","SD","West Darfur","47"
"1459768","SD","West Kordofan State","62"
"1459769","SD","South Darfur","49"
"1459770","SD","South Kordofan","50"
"1459771","SD","Kassala State","52"
"1459772","SD","River Nile","53"
"1459773","SD","North Darfur","55"
"1459774","SD","North Kordofan","56"
"1459775","SD","Sennar","58"
"1472629","SD","East Darfur","60"
"1472630","SD","Central Darfur State","61"
"1476874","SE","Norrbotten","14"
"1485281","SE","Vaestmanlands laen","25"
"1485393","SE","Vaesternorrlands laen","24"
"1485514","SE","Vaesterbottens laen","23"
"1485963","SE","Vaermlands laen","22"
"1487297","SE","Uppsala","21"
"1494727","SE","Stockholm","26"
"1497190","SE","Soedermanlands laen","18"
"1506738","SE","OEstergoetlands laen","16"
"1507517","SE","OErebro laen","15"
"1519801","SE","Kronoberg","12"
"1520508","SE","Dalarna","10"
"1522976","SE","Kalmar","09"
"1523683","SE","Joenkoepings laen","08"
"1524031","SE","Jaemtlands laen","07"
"1529443","SE","Halland","06"
"1532128","SE","Gotland","05"
"1533020","SE","Gaevleborgs laen","03"
"1541892","SE","Blekinge","02"
"1557584","SE","Skane laen","27"
